en,my
The dictionary is on that bookshelf,အဘိဓာန် ဟိုကစာအုပ်စင်မှာ ရှိတယ်။
Tomorrow I will go to the station to meet my friend and we will go to a concert together,ကျွန်တော် မနက်ဖန် ဘူတာမှာ သူငယ်ချင်းနဲ့ တွေ့ပြီး သူနဲ့အတူ ဂီတပွဲ သွားမယ်။
Thank you very much,ကျေးဇူး အများကြီး တင်ပါတယ်။
We will order four dishes at the restaurant,စားသောက်ဆိုင်မှာ ဟင်း လေးမျိုး မှာတယ်။
My mum always asks me to do the shopping,အမေ အမြဲတမ်း ကျွန်တော့်ကို ဈေးဝယ်ခိုင်းတယ်။
It is challenging because I must learn a lot of kanji,ခန်းဂျီးတွေ အများကြီး မှတ်ရမှာမို့ ဒုက္ခရောက်နေတယ်။
I went on a trip abroad last month,ရှေ့လက နိုင်ငံခြားကို ခရီးထွက်ခဲ့တယ်။
If you send a letter by sea it will take time,ရေကြောင်းနဲ့ စာပို့ရင် အချိန် အရမ်း ကြာတယ်။
I will play the piano at the concert next month,ကျွန်တော် နောက်လ ဂီတဖျော်ဖြေပွဲမှာ စန္ဒရားတီးမယ်။
I go out with my friends on holidays,နားရက်မှာ သူငယ်ချင်းနဲ့ အပြင်ထွက်တယ်။
If you press this button the door will open,ဒီခလုတ်ကို နှိပ်ရင် တံခါး ပွင့်မယ်။
The weather is bad today,ဒီနေ့ ရာသီဥတု မကောင်းဘူး။
The toilet is on the left side of the hallway,အိမ်သာက လျှောက်လမ်းလေးရဲ့ ဘယ်ဘက်ခြမ်းမှာ ရှိတယ်။
This is Mr Kobayashi,ဒီဘက်က မစ္စတာခိုဘာယာရှိပါ။
I will clean the lobby and hallway,အိမ်အဝင်နဲ့ လျှောက်လမ်းတွေကို သန့်ရှင်းရေးလုပ်တယ်။
Today I will leave the house early,ဒီနေ့ ခပ်စောစော အိမ်က ထွက်တယ်။
I forgot my handkerchief in my classroom yesterday,မနေ့က အတန်းထဲမှာ လက်ကိုင်ပဝါ မေ့ကျန်ခဲ့တယ်။
I cannot eat anything because my teeth hurt,သွားကိုက်လို့ ဘာမှ မစားနိုင်ဘူး။
I will ask my teacher a question because there is a question I do not understand,နားမလည်တာ ရှိလို့ ဆရာ့ကို မေးမယ်။
I use the computer to work,ကွန်ပျူတာ သုံးပြီး အလုပ်လုပ်တယ်။
A Would you like to go shopping with me tomorrow,မနက်ဖန် အတူတူ ဈေးသွားဝယ်ရအောင်လား။
I am not ill so please do not worry,ရောဂါ မဟုတ်တဲ့အတွက် စိုးရိမ်စရာမလိုပါဘူး။
I like both bread and rice,ကျွန်တော် ပေါင်မုန့်ရော ထမင်းရော ကြိုက်တယ်။
This magazine is thick and heavy,ဒီမဂ္ဂဇင်းက ထူပြီး လေးတယ်။
I will stay at a hotel this evening,ဒီည ဟိုတယ်မှာ တည်းမယ်။
I will buy a souvenir for my family,မိသားစုအတွက် အပြန်လက်ဆောင် ဝယ်မယ်။
That is the Japanese dictionary,ဂျပန်စာအဘိဓာန်က အဲဒါပါ။
The film I saw yesterday was interesting,မနေ့က ကြည့်ခဲ့တဲ့ရုပ်ရှင် အရမ်း စိတ်ဝင်စားဖို့ကောင်းတယ်။
There are seven computers in this classroom,ဒီစာသင်ခန်းမှာ ကွန်ပျူတာ ခုနစ်လုံး ရှိတယ်။
In Japan when you enter a house you take off your shoes,ဂျပန်မှာ အိမ်ထဲကို ဝင်တဲ့အခါ ဖိနပ်ချွတ်တယ်။
These flowers will blossom in the spring,ဒီပန်းက နွေဦးရောက်ရင် ပွင့်တယ်။
This building is old and famous,ဒီအဆောက်အအုံက သက်တမ်းကြာပြီး နာမည်ကြီးတယ်။
I will wear new shoes and go out,ဖိနပ်အသစ် စီးပြီး အပြင်ထွက်မယ်။
I told an old man the way,ကျွန်တော် အဘိုးကို လမ်းညွှန်ပေးလိုက်တယ်။
I used to swim a lot when I was young,လူငယ်ပိုင်းတုန်းကဆို ခဏခဏ ရေကူးတယ်။
Mr Lee will be in Japan for three years,မစ္စတာလီက ဂျပန်မှာ သုံးနှစ် နေမယ်လို့ စဉ်းစားထားတယ်။
That animal is very cute,တိရစ္ဆာန်ငယ်လေးတွေက အရမ်း ချစ်ဖို့ကောင်းတယ်။
Japanese food is delicious but expensive,ဂျပန်က အစားအသောက်တွေက စားလို့ကောင်းပေမဲ့ ဈေးကြီးတယ်။
I got a cute cup from my friend,သူငယ်ချင်းဆီက ခွက်လှလှလေး ရခဲ့တယ်။
I cannot sit here so I will sit there,ဒီမှာ ထိုင်လို့မရလို့ ဟိုမှာ ထိုင်မယ်။
That train will go to Tokyo,ဒီရထားက တိုကျိုကို သွားတယ်။
I go shopping with my friend on my days off,ပိတ်ရက်မှာ သူငယ်ချင်းနဲ့ ဈေးသွားဝယ်မယ်။
Why dont we go the pool,ရေကူးကန် သွားရအောင်လား။
I got on the back of my friends bicycle,သူငယ်ချင်းရဲ့ စက်ဘီးနောက်ကနေ လိုက်စီးတယ်။
This baggage is heavy because it weighs five kilograms,ဒီအထုပ်က ငါးကီလို ရှိလို့ လေးတယ်။
Spring has come but it hasnt become warm yet,နွေဦးရာသီထဲ ဝင်လာပေမဲ့ နွေးမလာသေးဘူး။
How can you memorize kanji,ခန်းဂျီးကို မှတ်မိအောင် ဘယ်လို လုပ်ရမလဲ။
The students are lined up in a straight line in the hallway,တပည့်တွေက စင်္ကြံမှာ တန်းနေအောင် တန်းစီတယ်။
The teacher called Mr Yamadas name,ဆရာက မစ္စတာယာမာဒါရဲ့ နာမည်ကို ခေါ်လိုက်တယ်။
Mr Matsui is wearing a white shirt,မစ္စတာမဆုအိက အဖြူရောင်အင်္ကျီကို ဝတ်ထားတယ်။
It snows during winter in Japan,ဂျပန်မှာ ဆောင်းတွင်းဆို နှင်းကျတယ်။
Mr Lee is gradually getting better at Japanese,မစ္စတာလီ တဖြည်းဖြည်း ဂျပန်စကား တော်လာပြီ။
I was busy so I couldnt eat lunch,အလုပ်များလို့ နေ့လယ်စာ မစားလိုက်ရဘူး။
This kanji reads yama,ဒီခန်းဂျီးကို ယာမလို့ ဖတ်တယ်။
I will buy ten stamps and three postcards,တံဆိပ်ခေါင်း ဆယ်ခုနဲ့ ပို့စကတ် သုံးခု ဝယ်မယ်။
I will leave work early this evening and go home,ဒီည စောစော ကုမ္ပဏီ ဆင်းပြီး အိမ်ပြန်မယ်။
I quit my job last month,ရှေ့လကတည်းက ကျွန်တော် ကုမ္ပဏီက ထွက်လိုက်တယ်။
I will lay out the plates on the table,စားပွဲမှာ ပန်းကန်တွေကို စီမယ်။
The weather will become warmer in July,ခုနစ်လပိုင်းရောက်ရင် တဖြည်းဖြည်း ပူလာမယ်။
This bag has an external side pocket,ဒီလွယ်အိတ်က အပြင်ဘက်ခြမ်းမှာ အိတ်ကပ် ရှိတယ်။
I finished all of my homework,အိမ်စာတွေ အားလုံး ပြီးပြီ။
I want to become a doctor when I graduate from university,တက္ကသိုလ်ပြီးရင် သွားဆရာဝန် ဖြစ်ချင်တယ်။
This is a tie from Italy,ဒါ အီတလီကနက်ကတိုင်ပါ။
Mr Yamada is a funny person,မစ္စတာယာမာဒါက စိတ်ဝင်စားဖို့ကောင်းတဲ့လူပဲ။
I ran every day so I got skinnier,မနက်တိုင်း ပြေးနေလို့ နည်းနည်းတော့ ပိန်သွားတယ်။
Last week I went to the cinema with Mr Lee and watched a film,ရှေ့အပတ်က မစ္စတာလီနဲ့ ရုပ်ရှင်ရုံကို သွားပြီး ရုပ်ရှင် ကြည့်ခဲ့တယ်။
There are children playing in the park,ကလေးလေး ပန်းခြံမှာ ကစားနေတယ်။
I came to this country three years ago,လွန်ခဲ့တဲ့သုံးနှစ်က ဒီနိုင်ငံကို လာခဲ့တယ်။
Ms Kimura sometimes makes dinner,မစ္စတာခိမုရဟာ ရံဖန်ရံခါ ထမင်းချက်တယ်။
I lent Mr Kobayashi my notebook,ကျွန်တော် မစ္စတာခိုဘာယာရှိကို မှတ်စုစာအုပ် ငှားလိုက်တယ်။
I eat dinner take a bath and go to sleep,ညစာစားပြီး၊ ရေချိုးပြီး အိပ်တယ်။
When I go to work I wear a black suit,ကုမ္ပဏီ သွားတဲ့အခါ အနက်ရောင်အနောက်တိုင်းဝတ်စုံကို ဝတ်တယ်။
There is a fish in the lake,ကန်ထဲမှာ ငါး ရှိတယ်။
I will read a little before sleeping,စာအုပ်လေးဘာလေး နည်းနည်းပါးပါး ဖတ်ပြီး အိပ်မယ်။
Mr Matsuis house is near my house,မစ္စတာမဆုအိရဲ့ အိမ်က ကျွန်တော့်အိမ်ရဲ့ ဘေးမှာ ရှိတယ်။
My room faces the south so it is bright,ကျွန်တော့်အခန်းက တောင်ဘက်မှာ ရှိလို့ အလင်းရောင် ကောင်းတယ်။
The big black bag is mine,အမည်းရောင်အိတ်အကြီးကြီးက ကျွန်တော့်ဟာပါ။
It is zero degrees here so it is very cold,ဒီမှာ သုံညဒီဂရီမို့လို့ အရမ်း ချမ်းတယ်။
I will rest for a moment around here,ဒီအနားတဝိုက်မှာ ခဏ နားရအောင်။
I will bring a jacket and go out,အနွေးထည် ယူပြီး အပြင်ထွက်တယ်။
The class will finish in five minutes,နောက်ငါးမိနစ်ဆို အတန်းပြီးမယ်။
I passed the soy sauce to Mr Lee,မစ္စတာလီကို ပဲငံပြာရည် ယူပေးလိုက်တယ်။
The children here are all students from the same school,ဒီမှာ ရှိတဲ့ကလေးတွေ အားလုံး တစ်ကျောင်းတည်းက တပည့်တွေပါ။
There are two dictionaries and one magazine on the teachers desk,ဆရ့ာရဲ့ စာကြည့်စားပွဲပေါ်မှာ အဘိဓာန် နှစ်အုပ်နဲ့ မဂ္ဂဇင်း တစ်အုပ် ရှိတယ်။
This place is very lively,ဒီနေရာက အရမ်း စည်ကားတဲ့နေရာ ဖြစ်တယ်။
I was busy yesterday so I got very tired,မနေ့က အလုပ်များလို့ အရမ်း ပင်ပန်းသွားတယ်။
I will borrow money from the bank,ဘဏ်မှာ ငွေချေးတယ်။
This book is very important so please do not lose it,ဒီစာအုပ်က အရမ်း အရေးကြီးလို့ မပျောက်ပါစေနဲ့။
I watched a film,ရုပ်ရှင်ကြည့်ခဲ့တယ်။
A man will carry the heavy box,လေးတဲ့ သေတ္တာကို ယောကျ်ားလေးက သယ်မယ်။
My father is a teacher,အဖေက ကျောင်းဆရာပါ။
The party yesterday was very fun,မနေ့ကပါတီမှာ အရမ်း ပျော်ခဲ့တယ်။
Mr Yamada is to the right of Mr Tanaka,မစ္စတာတာနာခါရဲ့ ညာဘက်မှာ မစ္စတာယာမာဒါ ရှိတယ်။
I married my wife five years ago,လွန်ခဲ့တဲ့ငါးနှစ်တုန်းက အမျိုးသမီးနဲ့ လက်ထပ်ခဲ့တယ်။
I will study with Mr Yamada at the library,စာကြည့်တိုက်မှာ မစ္စတာယာမာဒါနဲ့ အတူတူ စာဖတ်မယ်။
Japanese cars are expensive but good quality,ဂျပန်ကားက ဈေးကြီးပေမဲ့ ကောင်းတယ်။
It is still  now,အခု ဆယ်နာရီပဲ ရှိသေးတယ်။
Would you like a snack,မုန့်လေး တစ်ခုလောက် သုံးဆောင်ပါဦးလား။
The teacher asked a question,ဆရာက မေးခွန်းထုတ်လိုက်ပါတယ်။
Does someone have my pen,တစ်ယောက်ယောက်များ ကျွန်တော့်ဘောပင် ယူသွားသေးလား မသိဘူး။
Mr Tanaka was born in Tokyo,မစ္စတာတာနာခါရဲ့ မွေးရပ်က တိုကျိုပါ။
There are a lot of policemen at the intersection,လမ်းဆုံမှာ ရဲတွေ အများကြီးပဲ။
The policeman showed us the way to the station,ရဲသားက ဘူတာအထိ လမ်းညွှန်ပေးတယ်။
I ate half a loaf of bread,ပေါင်မုန့် တစ်ဝက် စားလိုက်တယ်။
I will get out of the classroom,စာသင်ခန်းက ထွက်မယ်။
There is no school,ကျောင်းပိတ်တယ်။
The bus that goes to the airport stops on the other side of the road,လေယာဉ်ကွင်း သွားတဲ့ဘတ်စကားက ဟိုဘက်ခြမ်းက လာမှာ။
Lets sit over there and eat a boxed lunch,ထမင်းဘူးတွေ ဟိုနားမှာ ထိုင်စားရအောင်။
We will talk in a quiet voice because it is already midnight,ည ဆယ့်နှစ်နာရီ ရှိပြီ၊ အသံ တိုးတိုး ပြောမယ်။
The window is closed,ပြတင်းပေါက် ပိတ်ထားတယ်။
We turn right at the next corner,ရှေ့ကအကွေ့ ရောက်ရင် ညာဘက်ကို ချိုးမယ်။
Would you like some coffee,ကော်ဖီ သောက်မလား။
Yesterday Mr Lee learned Kanji from Mr Matsui,မစ္စတာလီ မနေ့က မစ္စတာမဆုအိဆီမှာ ခန်းဂျီး သင်တယ်။
Mr Yamadas father is a doctor,မစ္စတာယာမာဒါရဲ့ အဖေက ဆရာဝန်ပါ။
The whole thing will be  yen,စုစုပေါင်း ထောင့်ခြောက်ရာပါ။
Ms Kimura is to the left of Mr Tanaka,မစ္စတာတာနာခါရဲ့ ဘယ်ဘက်မှာ မစ္စတာခိမုရ ရှိတယ်။
My friend is going to stay at my house tonight,ဒီည သူငယ်ချင်း အိမ်မှာ လာတည်းမယ်။
I received a souvenir from my friend,သူငယ်ချင်းဆီက ခရီးအပြန်လက်ဆောင် ရခဲ့တယ်။
My brother has a strong body,ညီလေးက ကိုယ်ခန္ဓာ အရမ်း သန်မာတယ်။
Have you finished your test Well then please hand it in,စာမေးပွဲ ဖြေပြီးပြီလား။ ပြီးရင် ထပ်လိုက်ပါ။
There is a vase in the lobby,အိမ်အဝင်မှာ ပန်းအိုး ထားထားတယ်။
I buy fruits and vegetables at a vegetable shop,ကျွန်တော် သစ်သီးတို့ ဟင်းသီးဟင်းရွက်တို့ကို ဟင်းသီးဟင်းရွက်ဆိုင်မှာ ဝယ်တယ်။
My friend is coming so I will clean this room,သူငယ်ချင်း လာမှာမို့လို့ အခန်းကို သန့်ရှင်းရေးလုပ်မယ်။
My mother loves cake,မေမေက ကိတ်မု့န် အရမ်း ကြိုက်တယ်။
Studying Japanese is fun,ဂျပန်စာ လေ့လာရတာ ပျော်တယ်။
How much is it,ဘယ်လောက်လဲ။
I will give back the book to the library,စာကြည့်တိုက်မှာ စာအုပ် ပြန်အပ်မယ်။
I will not go out when it snows,နှင်းကျတဲ့နေ့ဆို အပြင်မထွက်ဘူး။
What transport do you use to get to work,ဘာနဲ့ ကုမ္ပဏီကို သွားမလဲ။
I only ate bread,ပေါင်မုန့်ပဲ စားလိုက်တယ်။
The person wearing glasses is Mr Matsui,ဟို မျက်မှန်တပ်ထားတဲ့လူက မစ္စတာမဆုအိပါ။
I take a walk every morning,ကျွန်တော် မနက်တိုင်း လမ်းလျှောက်တယ်။
This notebook is wider than it is tall,ဒီစာအုပ်က အလျားထက်စာရင် အနံက ပိုရှည်တယ်။
A library will be built there in two years,နောက်နှစ်နှစ်ကျရင် အဲဒီမှာ စာကြည့်တိုက် ဖွင့်မယ် ကြားတယ်။
I always eat bread for breakfast,မနက်စာဆို အမြဲတမ်း ပေါင်မုန့်ပဲ စားတယ်။
I gave flowers to my father,ကျွန်တော် အဖေ့ကို ပန်း ပေးတယ်။
I didnt know the way so I looked at the map,လမ်းမသိလို့ မြေပုံကို ကြည့်တယ်။
I have a fever so I will be absent from school,ကိုယ်ပူနေလို့ ဒီနေ့ အနားယူမယ်။
I wrote a letter to my friend yesterday,မနေ့က သူငယ်ချင်းဆီ စာရေးခဲ့တယ်။
That person is always loud during class,စာသင်ချိန်မှာ အဲဒီလူ အမြဲတမ်း နားငြီးအောင် လုပ်တယ်။
The colours in this picture are very beautiful,ဒီပန်းချီက အရောင်လှတယ်။
I was tired yesterday so I woke up late this morning,မနေ့က ပင်ပန်းသွားလို့ မနက်က နောက်ကျမှ အိပ်ရာထတယ်။
The set meal in that cafeteria is cheap and good,အဲဒီစားသောက်ဆိုင်ကဆက်မီနူးက ဈေးသက်သာပြီး စားလို့ကောင်းတယ်။
I bought three fish at the supermarket yesterday,မနေ့က စူပါမားကက်မှာ ငါး သုံးကောင် ဝယ်ခဲ့တယ်။
I am not good at singing a song,ကျွန်တော် သီချင်းဆို ညံ့တယ်။
I already took my medicine so Im alright,ဆေးသောက်လိုက်တာမို့လို့ ကောင်းသွားမှာပါ။
There is a forest on the east side of this town,ဒီမြို့ရဲ့ အရှေ့ဘက်က အားလုံး သစ်တောတွေပါ။
There is a calendar on the desk,စာရေးခုံပေါ်မှာ ပြက္ခဒိန် ထားထားတယ်။
